样本ID,评审批次,概念,动作,核心卡,候选结果,语义符合度（1-5）,动作贡献度（1-5）,核心卡一致性（1-5）,无需规则说明可理解（1-5）,拒绝是否恰当（是/否/不适用）,备注,评审者ID
S048,2,铁,采集,王权,拒绝生成,,,,,,,
S049,2,气,采集,王权,拒绝生成,,,,,,,
S050,2,铁,压缩,王权,拒绝生成,,,,,,,
S051,2,影,扩散,王权,拒绝生成,,,,,,,
S052,2,水,压缩,王权,拒绝生成,,,,,,,
S053,2,铁,压缩,豪杰,伤害（damage） + 护盾（shield）,,,,,,,
S054,2,光,扩散,王权,拒绝生成,,,,,,,
S055,2,火,采集,豪杰,伤害（damage）,,,,,,,
S056,2,水,扩散,豪杰,打断意图（cancel_intent）,,,,,,,
S057,2,火,采集,王权,拒绝生成,,,,,,,
S058,2,铁,采集,王权,护盾（shield）,,,,,,,
S059,2,光,压缩,王权,拒绝生成,,,,,,,
S060,2,铁,采集,王权,拒绝生成,,,,,,,
S061,2,种,压缩,豪杰,护盾（shield） + 治疗（heal）,,,,,,,
S062,2,种,压缩,王权,护盾（shield） + 治疗（heal）,,,,,,,
S063,2,火,扩散,王权,拒绝生成,,,,,,,
S064,2,光,扩散,豪杰,拒绝生成,,,,,,,
S065,2,影,采集,王权,打断意图（cancel_intent）,,,,,,,
S066,2,水,采集,豪杰,拒绝生成,,,,,,,
S067,2,种,压缩,豪杰,拒绝生成,,,,,,,
S068,2,种,压缩,豪杰,治疗（heal）,,,,,,,
S069,2,火,扩散,豪杰,伤害（damage）,,,,,,,
S070,2,光,采集,王权,护盾（shield）,,,,,,,
S071,2,水,采集,王权,治疗（heal）,,,,,,,
S072,2,砂,压缩,豪杰,拒绝生成,,,,,,,
S073,2,光,压缩,王权,护盾（shield）,,,,,,,
S074,2,铁,采集,王权,护盾（shield）,,,,,,,
S075,2,火,扩散,豪杰,拒绝生成,,,,,,,
S076,2,火,采集,王权,拒绝生成,,,,,,,
S077,2,砂,扩散,王权,伤害（damage）,,,,,,,
S078,2,光,采集,王权,治疗（heal）,,,,,,,
S079,2,种,压缩,王权,护盾（shield） + 治疗（heal）,,,,,,,
S080,2,铁,压缩,王权,护盾（shield）,,,,,,,
S081,3,影,采集,豪杰,打断意图（cancel_intent）,,,,,,,
S082,3,铁,采集,豪杰,拒绝生成,,,,,,,
S083,3,光,扩散,豪杰,伤害（damage）,,,,,,,
S084,3,水,压缩,豪杰,伤害（damage）,,,,,,,
S085,3,种,采集,豪杰,治疗（heal）,,,,,,,
S086,3,光,采集,豪杰,拒绝生成,,,,,,,
S087,3,砂,采集,豪杰,拒绝生成,,,,,,,
S088,3,影,扩散,王权,打断意图（cancel_intent）,,,,,,,
S089,3,铁,采集,豪杰,治疗（heal）,,,,,,,
S090,3,影,采集,豪杰,打断意图（cancel_intent）,,,,,,,
S091,3,种,采集,王权,治疗（heal）,,,,,,,
S092,3,铁,扩散,王权,伤害（damage）,,,,,,,
S093,3,气,压缩,王权,伤害（damage）,,,,,,,
S094,3,水,压缩,豪杰,拒绝生成,,,,,,,
S095,3,气,压缩,豪杰,伤害（damage）,,,,,,,
S096,3,影,采集,豪杰,打断意图（cancel_intent）,,,,,,,
S097,3,气,扩散,王权,拒绝生成,,,,,,,
S098,3,砂,扩散,王权,拒绝生成,,,,,,,
S099,3,影,压缩,王权,打断意图（cancel_intent）,,,,,,,
S100,3,光,采集,豪杰,治疗（heal）,,,,,,,
S101,3,砂,压缩,王权,护盾（shield）,,,,,,,
S102,3,火,压缩,王权,拒绝生成,,,,,,,
S103,3,光,压缩,豪杰,拒绝生成,,,,,,,
S104,3,铁,压缩,豪杰,伤害（damage）,,,,,,,
S105,3,火,扩散,王权,拒绝生成,,,,,,,
S106,3,气,采集,豪杰,伤害（damage）,,,,,,,
S107,3,气,扩散,豪杰,打断意图（cancel_intent）,,,,,,,
S108,3,气,压缩,王权,伤害（damage） + 打断意图（cancel_intent）,,,,,,,
S109,3,砂,采集,王权,拒绝生成,,,,,,,
S110,3,砂,扩散,王权,打断意图（cancel_intent）,,,,,,,
S111,3,砂,压缩,王权,护盾（shield）,,,,,,,
S112,3,光,压缩,王权,护盾（shield）,,,,,,,
S113,3,铁,扩散,豪杰,伤害（damage）,,,,,,,
S114,3,砂,采集,王权,护盾（shield）,,,,,,,
S115,3,光,采集,王权,拒绝生成,,,,,,,
S116,3,种,扩散,豪杰,治疗（heal）,,,,,,,
S117,3,水,采集,王权,拒绝生成,,,,,,,
S118,3,铁,压缩,豪杰,护盾（shield）,,,,,,,
S119,3,气,采集,豪杰,伤害（damage）,,,,,,,
S120,3,火,采集,豪杰,拒绝生成,,,,,,,
S121,4,水,压缩,豪杰,拒绝生成,,,,,,,
S122,4,砂,采集,王权,拒绝生成,,,,,,,
S123,4,光,压缩,豪杰,护盾（shield）,,,,,,,
S124,4,砂,采集,豪杰,护盾（shield）,,,,,,,
S125,4,铁,压缩,王权,伤害（damage） + 护盾（shield）,,,,,,,
S126,4,影,采集,王权,打断意图（cancel_intent）,,,,,,,
S127,4,铁,压缩,王权,护盾（shield）,,,,,,,
S128,4,砂,压缩,豪杰,护盾（shield）,,,,,,,
S129,4,影,采集,王权,护盾（shield）,,,,,,,
S130,4,砂,采集,豪杰,治疗（heal）,,,,,,,
S131,4,光,扩散,王权,护盾（shield）,,,,,,,
S132,4,种,扩散,王权,治疗（heal）,,,,,,,
S133,4,影,压缩,豪杰,护盾（shield）,,,,,,,
S134,4,种,压缩,王权,护盾（shield） + 治疗（heal）,,,,,,,
S135,4,水,压缩,王权,拒绝生成,,,,,,,
S136,4,光,采集,王权,拒绝生成,,,,,,,
S137,4,气,扩散,王权,打断意图（cancel_intent）,,,,,,,
S138,4,火,采集,豪杰,拒绝生成,,,,,,,
S139,4,影,采集,豪杰,打断意图（cancel_intent）,,,,,,,
S140,4,铁,压缩,王权,护盾（shield）,,,,,,,
S141,4,影,压缩,豪杰,伤害（damage） + 打断意图（cancel_intent）,,,,,,,
S142,4,砂,压缩,王权,拒绝生成,,,,,,,
S143,4,气,采集,王权,拒绝生成,,,,,,,
S144,4,种,采集,豪杰,拒绝生成,,,,,,,
S145,4,水,扩散,豪杰,打断意图（cancel_intent）,,,,,,,
S146,4,影,压缩,豪杰,打断意图（cancel_intent）,,,,,,,
S147,4,气,采集,王权,拒绝生成,,,,,,,
S148,4,砂,压缩,豪杰,护盾（shield）,,,,,,,
S149,4,光,采集,王权,治疗（heal）,,,,,,,
S150,4,火,采集,豪杰,治疗（heal）,,,,,,,
S151,4,光,压缩,豪杰,伤害（damage） + 护盾（shield）,,,,,,,
S152,4,火,采集,王权,伤害（damage）,,,,,,,
S153,4,水,采集,王权,拒绝生成,,,,,,,
S154,4,影,扩散,豪杰,打断意图（cancel_intent）,,,,,,,
S155,4,火,压缩,豪杰,拒绝生成,,,,,,,
S156,4,水,扩散,王权,拒绝生成,,,,,,,
S157,4,影,扩散,豪杰,打断意图（cancel_intent）,,,,,,,
S158,4,火,扩散,王权,护盾（shield）,,,,,,,
S159,4,影,扩散,豪杰,拒绝生成,,,,,,,
S160,4,气,采集,王权,拒绝生成,,,,,,,
S161,5,水,扩散,豪杰,拒绝生成,,,,,,,
S162,5,影,采集,豪杰,拒绝生成,,,,,,,
S163,5,光,压缩,豪杰,拒绝生成,,,,,,,
S164,5,火,扩散,豪杰,打断意图（cancel_intent）,,,,,,,
S165,5,影,压缩,豪杰,拒绝生成,,,,,,,
S166,5,气,压缩,豪杰,伤害（damage）,,,,,,,
S167,5,影,扩散,王权,打断意图（cancel_intent）,,,,,,,
S168,5,气,扩散,豪杰,伤害（damage）,,,,,,,
S169,5,气,扩散,王权,打断意图（cancel_intent）,,,,,,,
S170,5,气,扩散,豪杰,打断意图（cancel_intent）,,,,,,,
S171,5,铁,采集,豪杰,护盾（shield）,,,,,,,
S172,5,光,扩散,豪杰,护盾（shield）,,,,,,,
S173,5,影,采集,王权,拒绝生成,,,,,,,
S174,5,铁,扩散,豪杰,伤害（damage）,,,,,,,
S175,5,种,压缩,王权,拒绝生成,,,,,,,
S176,5,气,采集,豪杰,伤害（damage） + 打断意图（cancel_intent）,,,,,,,
S177,5,砂,扩散,王权,伤害（damage）,,,,,,,
S178,5,光,压缩,王权,护盾（shield）,,,,,,,
S179,5,气,压缩,王权,拒绝生成,,,,,,,
S180,5,光,扩散,王权,拒绝生成,,,,,,,
S181,5,铁,扩散,王权,拒绝生成,,,,,,,
S182,5,铁,压缩,豪杰,拒绝生成,,,,,,,
S183,5,影,扩散,豪杰,打断意图（cancel_intent）,,,,,,,
S184,5,砂,压缩,王权,拒绝生成,,,,,,,
S185,5,种,采集,王权,拒绝生成,,,,,,,
S186,5,光,扩散,王权,治疗（heal）,,,,,,,
S187,5,气,压缩,王权,拒绝生成,,,,,,,
S188,5,气,压缩,豪杰,拒绝生成,,,,,,,
S189,5,砂,扩散,豪杰,打断意图（cancel_intent）,,,,,,,
S190,5,种,扩散,豪杰,拒绝生成,,,,,,,
S191,5,水,压缩,王权,伤害（damage） + 护盾（shield）,,,,,,,
S192,5,火,压缩,豪杰,伤害（damage） + 护盾（shield）,,,,,,,
S193,5,影,压缩,豪杰,打断意图（cancel_intent）,,,,,,,
S194,5,砂,扩散,王权,拒绝生成,,,,,,,
S195,5,水,采集,豪杰,拒绝生成,,,,,,,
S196,5,种,采集,豪杰,治疗（heal）,,,,,,,
S197,5,铁,扩散,豪杰,拒绝生成,,,,,,,
S198,5,火,压缩,豪杰,伤害（damage）,,,,,,,
S199,5,影,扩散,王权,打断意图（cancel_intent）,,,,,,,
S200,5,气,扩散,王权,拒绝生成,,,,,,,
S201,6,种,扩散,豪杰,治疗（heal）,,,,,,,
S202,6,影,扩散,豪杰,打断意图（cancel_intent）,,,,,,,
S203,6,种,采集,王权,治疗（heal）,,,,,,,
S204,6,种,采集,豪杰,治疗（heal）,,,,,,,
S205,6,火,压缩,王权,伤害（damage）,,,,,,,
S206,6,水,压缩,豪杰,拒绝生成,,,,,,,
S207,6,种,扩散,王权,拒绝生成,,,,,,,
S208,6,影,压缩,王权,打断意图（cancel_intent）,,,,,,,
S209,6,砂,压缩,豪杰,伤害（damage）,,,,,,,
S210,6,火,扩散,王权,伤害（damage） + 打断意图（cancel_intent）,,,,,,,
S211,6,铁,扩散,王权,伤害（damage）,,,,,,,
S212,6,火,扩散,豪杰,伤害（damage）,,,,,,,
S213,6,火,压缩,豪杰,护盾（shield）,,,,,,,
S214,6,气,采集,王权,拒绝生成,,,,,,,
S215,6,砂,扩散,豪杰,拒绝生成,,,,,,,
S216,6,水,采集,豪杰,拒绝生成,,,,,,,
S217,6,水,扩散,王权,拒绝生成,,,,,,,
S218,6,火,采集,王权,拒绝生成,,,,,,,
S219,6,水,压缩,王权,拒绝生成,,,,,,,
S220,6,砂,压缩,豪杰,拒绝生成,,,,,,,
S221,6,砂,扩散,豪杰,伤害（damage）,,,,,,,
S222,6,铁,采集,豪杰,拒绝生成,,,,,,,
S223,6,气,扩散,王权,伤害（damage）,,,,,,,
S224,6,水,扩散,王权,拒绝生成,,,,,,,
S225,6,气,压缩,王权,伤害（damage）,,,,,,,
S226,6,种,扩散,豪杰,治疗（heal）,,,,,,,
S227,6,气,扩散,豪杰,打断意图（cancel_intent）,,,,,,,
S228,6,水,扩散,王权,伤害（damage）,,,,,,,
S229,6,种,采集,豪杰,治疗（heal）,,,,,,,
S230,6,光,采集,豪杰,护盾（shield）,,,,,,,
S231,6,种,采集,王权,治疗（heal）,,,,,,,
S232,6,火,压缩,王权,伤害（damage）,,,,,,,
S233,6,砂,采集,王权,拒绝生成,,,,,,,
S234,6,火,采集,豪杰,伤害（damage）,,,,,,,
S235,6,光,压缩,王权,治疗（heal）,,,,,,,
S236,6,火,采集,王权,伤害（damage）,,,,,,,
S237,6,气,扩散,豪杰,拒绝生成,,,,,,,
S238,6,水,扩散,王权,拒绝生成,,,,,,,
S239,6,火,压缩,王权,护盾（shield）,,,,,,,
S240,6,铁,采集,王权,拒绝生成,,,,,,,
